timestamp,market_id,question,yes_bid,yes_ask,no_bid,no_ask,spread,volume
2026-05-14T10:56:03+00:00,#42,index:0,0.13902,0.18998,0.81002,0.86098,0.050960000000000005,22072.0
2026-05-14T10:56:03+00:00,#44,index:2,0.11286,0.12215,0.87785,0.88714,0.009289999999999993,7624.0
2026-05-14T10:56:03+00:00,#43,index:1,0.73571,0.74067,0.25933,0.26429,0.0049600000000000755,3530.0
2026-05-14T10:56:03+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.48443,0.48697,0.515,0.519,0.0025399999999999867,1737.0
2026-05-14T10:56:03+00:00,#41,other,,,,,,0
2026-05-14T13:34:51+00:00,#44,index:2,0.10585,0.15809,0.84191,0.89415,0.05224000000000001,12380.0
2026-05-14T13:34:51+00:00,#42,index:0,0.12,0.1399,0.8601,0.88,0.0199,51448.0
2026-05-14T13:34:51+00:00,#43,index:1,0.74576,0.76519,0.23481,0.25424,0.01943000000000006,551.0
2026-05-14T13:34:51+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.537,0.54628,0.45372,0.463,0.009279999999999955,10103.0
2026-05-14T13:34:51+00:00,#41,other,,,,,,0
2026-05-14T14:05:49+00:00,#44,index:2,0.09425,0.1265,0.8735,0.90575,0.03225,14359.0
2026-05-14T14:05:49+00:00,#43,index:1,0.74582,0.76479,0.23521,0.25418,0.01896999999999993,1069.0
2026-05-14T14:05:49+00:00,#42,index:0,0.123,0.14,0.86,0.877,0.017000000000000015,52465.0
2026-05-14T14:05:49+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.50814,0.5133,0.4867,0.49009,0.005159999999999942,1830.0
2026-05-14T14:05:49+00:00,#41,other,,,,,,0
2026-05-14T14:10:34+00:00,#44,index:2,0.0947,0.12749,0.87251,0.9053,0.032789999999999986,14568.0
2026-05-14T14:10:34+00:00,#42,index:0,0.11174,0.1324,0.8676,0.88826,0.020659999999999984,52805.0
2026-05-14T14:10:34+00:00,#43,index:1,0.7463,0.7645,0.2355,0.25369,0.018199999999999994,1093.0
2026-05-14T14:10:34+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.52962,0.5408,0.45915,0.47038,0.011179999999999968,1904.0
2026-05-14T14:10:34+00:00,#41,other,,,,,,0
2026-05-14T14:20:39+00:00,#44,index:2,0.1366,0.17029,0.82971,0.8634,0.03369,13715.0
2026-05-14T14:20:39+00:00,#43,index:1,0.7349,0.75052,0.24948,0.2651,0.015619999999999967,350.0
2026-05-14T14:20:39+00:00,#42,index:0,0.1,0.11161,0.88839,0.9,0.011609999999999995,69832.0
2026-05-14T14:20:39+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.64146,0.644,0.35711,0.35854,0.0025399999999999867,9290.0
2026-05-14T14:20:39+00:00,#41,other,,,,,,0
2026-05-14T14:30:41+00:00,#44,index:2,0.1376,0.17147,0.82853,0.8624,0.03387000000000001,14053.0
2026-05-14T14:30:41+00:00,#43,index:1,0.7353,0.74912,0.25088,0.2651,0.013820000000000054,416.0
2026-05-14T14:30:41+00:00,#42,index:0,0.1,0.10855,0.89145,0.9,0.008549999999999988,72509.0
2026-05-14T14:30:41+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.62194,0.62362,0.37638,0.37696,0.0016799999999999038,1573.0
2026-05-14T14:30:41+00:00,#41,other,,,,,,0
2026-05-14T14:40:34+00:00,#43,index:1,0.7142,0.74764,0.25236,0.2858,0.033440000000000025,1169.0
2026-05-14T14:40:34+00:00,#44,index:2,0.17157,0.20287,0.79713,0.82843,0.031299999999999994,13982.0
2026-05-14T14:40:34+00:00,#42,index:0,0.07,0.08675,0.91325,0.93,0.016749999999999987,70220.0
2026-05-14T14:40:34+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.67661,0.67973,0.32027,0.32339,0.0031199999999999006,6791.0
2026-05-14T14:40:34+00:00,#41,other,,,,,,0
2026-05-14T14:50:35+00:00,#43,index:1,0.66851,0.71512,0.28488,0.33149,0.04660999999999993,711.0
2026-05-14T14:50:35+00:00,#42,index:0,0.0278,0.04779,0.95221,0.9722,0.01999,78659.0
2026-05-14T14:50:35+00:00,#44,index:2,0.28896,0.30764,0.69236,0.71104,0.01868000000000003,8321.0
2026-05-14T14:50:35+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.738,0.74309,0.25691,0.262,0.005090000000000039,2476.0
2026-05-14T14:50:35+00:00,#41,other,,,,,,0
2026-05-14T15:00:59+00:00,#44,index:2,0.4054,0.44019,0.55981,0.5946,0.03479000000000004,9957.0
2026-05-14T15:00:59+00:00,#43,index:1,0.57703,0.59637,0.40363,0.42297,0.019339999999999913,478.0
2026-05-14T15:00:59+00:00,#42,index:0,0.011,0.0278,0.9722,0.989,0.0168,96775.0
2026-05-14T15:00:59+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.78061,0.78858,0.21142,0.21939,0.007969999999999922,17154.0
2026-05-14T15:00:59+00:00,#41,other,,,,,,0
2026-05-14T15:10:35+00:00,#43,index:1,0.6299,0.67624,0.32376,0.3701,0.04633999999999994,7823.0
2026-05-14T15:10:35+00:00,#44,index:2,0.3427,0.37254,0.62746,0.6573,0.029839999999999978,9784.0
2026-05-14T15:10:35+00:00,#42,index:0,0.014,0.0278,0.9722,0.986,0.013799999999999998,49579.0
2026-05-14T15:10:35+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.76159,0.76287,0.23713,0.23841,0.0012800000000000589,8291.0
2026-05-14T15:10:35+00:00,#41,other,,,,,,0
2026-05-14T15:20:30+00:00,#43,index:1,0.60222,0.64852,0.35148,0.39778,0.04630000000000001,7072.0
2026-05-14T15:20:30+00:00,#44,index:2,0.35,0.3785,0.6215,0.65,0.028500000000000025,13351.0
2026-05-14T15:20:30+00:00,#42,index:0,0.016,0.0278,0.9722,0.984,0.011799999999999998,49176.0
2026-05-14T15:20:30+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.77724,0.78286,0.21714,0.22276,0.005619999999999958,2762.0
2026-05-14T15:20:30+00:00,#41,other,,,,,,0
2026-05-14T15:30:43+00:00,#44,index:2,0.3395,0.3973,0.6027,0.6605,0.05779999999999996,13354.0
2026-05-14T15:30:43+00:00,#43,index:1,0.61568,0.63738,0.36262,0.38432,0.02169999999999994,6489.0
2026-05-14T15:30:43+00:00,#42,index:0,0.015,0.0278,0.9722,0.985,0.012799999999999999,49089.0
2026-05-14T15:30:43+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.7795,0.78293,0.21707,0.21897,0.003430000000000044,2224.0
2026-05-14T15:30:43+00:00,#41,other,,,,,,0
2026-05-14T15:40:36+00:00,#44,index:2,0.32238,0.3973,0.6027,0.67762,0.07491999999999999,13811.0
2026-05-14T15:40:36+00:00,#42,index:0,0.01165,0.0278,0.9722,0.98835,0.016149999999999998,48311.0
2026-05-14T15:40:36+00:00,#43,index:1,0.63241,0.64732,0.35268,0.36759,0.014909999999999979,620.0
2026-05-14T15:40:36+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.75916,0.7646,0.2354,0.24084,0.00544,2627.0
2026-05-14T15:40:36+00:00,#41,other,,,,,,0
2026-05-14T15:50:34+00:00,#44,index:2,0.33,0.4062,0.5938,0.67,0.07619999999999999,12821.0
2026-05-14T15:50:34+00:00,#43,index:1,0.61102,0.64804,0.35196,0.38898,0.03701999999999994,1274.0
2026-05-14T15:50:34+00:00,#42,index:0,0.015,0.0278,0.9722,0.985,0.012799999999999999,68376.0
2026-05-14T15:50:34+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.81657,0.81667,0.18333,0.18343,9.999999999998899e-05,6980.0
2026-05-14T15:50:34+00:00,#41,other,,,,,,0
2026-05-14T16:00:56+00:00,#44,index:2,0.461,0.49,0.51,0.539,0.02899999999999997,12676.0
2026-05-14T16:00:56+00:00,#43,index:1,0.5,0.52396,0.47604,0.5,0.02395999999999998,2345.0
2026-05-14T16:00:56+00:00,#42,index:0,0.01001,0.0278,0.9722,0.98999,0.01779,33496.0
2026-05-14T16:00:56+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.87391,0.87392,0.12608,0.12609,1.0000000000065512e-05,3228.0
2026-05-14T16:00:56+00:00,#41,other,,,,,,0
2026-05-14T16:10:49+00:00,#44,index:2,0.4611,0.498,0.502,0.5389,0.03689999999999999,30205.0
2026-05-14T16:10:49+00:00,#43,index:1,0.503,0.5375,0.4625,0.497,0.034499999999999975,12262.0
2026-05-14T16:10:49+00:00,#42,index:0,0.015,0.023,0.977,0.985,0.008,93733.0
2026-05-14T16:10:49+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.86996,0.874,0.126,0.13004,0.0040400000000000436,2112.0
2026-05-14T16:10:49+00:00,#41,other,,,,,,0
2026-05-14T16:20:38+00:00,#44,index:2,0.47651,0.5714,0.4286,0.52349,0.09489000000000003,10132.0
2026-05-14T16:20:38+00:00,#42,index:0,0.012,0.024,0.976,0.988,0.012,33590.0
2026-05-14T16:20:38+00:00,#43,index:1,0.49767,0.5025,0.4975,0.50233,0.0048299999999999454,1276.0
2026-05-14T16:20:38+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.87049,0.8705,0.1295,0.12951,1.0000000000065512e-05,1468.0
2026-05-14T16:20:38+00:00,#41,other,,,,,,0
2026-05-14T16:30:40+00:00,#43,index:1,0.45264,0.4953,0.5047,0.54736,0.04266000000000003,1499.0
2026-05-14T16:30:40+00:00,#44,index:2,0.53,0.5699,0.4301,0.47,0.039899999999999936,10442.0
2026-05-14T16:30:40+00:00,#42,index:0,0.015,0.023,0.977,0.985,0.008,33821.0
2026-05-14T16:30:40+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.88377,0.88843,0.11157,0.11623,0.0046600000000001085,4096.0
2026-05-14T16:30:40+00:00,#41,other,,,,,,0
2026-05-14T16:40:40+00:00,#44,index:2,0.43796,0.50331,0.49669,0.56204,0.06535000000000002,10220.0
2026-05-14T16:40:40+00:00,#43,index:1,0.48,0.49371,0.50629,0.52,0.01371,2708.0
2026-05-14T16:40:40+00:00,#42,index:0,0.01001,0.019,0.981,0.98999,0.00899,45809.0
2026-05-14T16:40:40+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.89945,0.9,0.1,0.10055,0.0005500000000000504,10689.0
2026-05-14T16:40:40+00:00,#41,other,,,,,,0
2026-05-14T16:50:36+00:00,#43,index:1,0.46401,0.50648,0.49352,0.53599,0.04247000000000006,2238.0
2026-05-14T16:50:36+00:00,#44,index:2,0.49876,0.5143,0.4857,0.50124,0.015539999999999998,9870.0
2026-05-14T16:50:36+00:00,#42,index:0,0.0083,0.015,0.985,0.9917,0.006699999999999999,29911.0
2026-05-14T16:50:36+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.8872,0.88873,0.11127,0.1128,0.0015300000000000313,7012.0
2026-05-14T16:50:36+00:00,#41,other,,,,,,0
2026-05-14T17:01:05+00:00,#44,index:2,0.5742,0.6463,0.3537,0.4258,0.07209999999999994,6920.0
2026-05-14T17:01:05+00:00,#43,index:1,0.37,0.40562,0.59438,0.63,0.035619999999999985,23654.0
2026-05-14T17:01:05+00:00,#40,class:priceBinary|underlying:BTC|expiry:20260515-0600|targetPrice:79779|period:1,0.94194,0.94961,0.05039,0.05806,0.007669999999999955,9641.0
2026-05-14T17:01:05+00:00,#42,index:0,0.01,0.014,0.986,0.99,0.004,34141.0
2026-05-14T17:01:05+00:00,#41,other,,,,,,0
2026-05-14T17:10:33+00:00,#43,index:1,0.30251,0.3693,0.6307,0.69749,0.06679000000000002,22897.0
2026-05-14T17:10:33+00:00,#42,index:0,0.0011,0.0135,0.9865,0.9989,0.0124,29840.0
2026-05-14T17:10:33+00:00,#44,index:2,0.6675,0.6769,0.3231,0.3325,0.009399999999999964,3997.0
